"claim_id","stage","epistemic_status","claim_class","short_name","claim_text","source_id","source_locator","implementation_target","oracle_or_test","assumption_ids","status","allowed_public_claim","forbidden_public_claim","review_status","notes"
"CLM-FFF-ADM-001","1","R","definition/count","admissible payoff count","For n world states and m payoff values, the number of admissible payoff functions (functions attaining the maximal payoff value at least once) is m^n - (m-1)^n.","SRC-FFF-2020","Section 4, discussion immediately before the four theorems","src/fts_lab/fff/admissibility.py","Brute-force enumeration for a declared grid of small n,m must equal the formula","","implemented_reviewed","For the declared finite cases, our enumeration matches the source definition and formula for admissible functions.","Natural selection samples biologically realistic payoff functions uniformly from this set.","REV-TASK-001-001_no_fatal_or_major","Counting measure is source-defined for R; alternative measures are E."
"CLM-FFF-ORD-001","1","R","theorem","total-order asymptotic","Under the source definitions, the ratio of admissible payoff functions that are homomorphisms of total orders to all admissible payoff functions tends to zero in the limits stated by the paper.","SRC-FFF-2020","Section 4, Total Orders Theorem; Appendix A.2","src/fts_lab/fff/total_orders.py","Independent transcription of the formula; brute-force agreement for small n,m; asymptotic numerical check","ASM-FFF-0001","implemented_reviewed","For declared finite cases, source orientation-witness enumeration matches the source formula, and the distinct unique-function count is reported separately under RDR-0002.","This computation proves that human magnitude perception is non-veridical; or the source formula is a unique-function count without the double-counting note.","REV-TASK-001-001_no_fatal_or_major","RDR-0002 requires public outputs to show both source orientation-witness count and distinct unique-function count."
"CLM-FFF-CYC-001","1","R","theorem/count","cyclic homomorphism count","The number of group homomorphisms from the cyclic group Z_n to Z_m is gcd(n,m).","SRC-FFF-2020","Section 4, Cyclic Groups Theorem; Appendix A.4","src/fts_lab/fff/cyclic_groups.py","Enumerate all maps for small n,m and compare with gcd(n,m)","","implemented_reviewed","For tested finite cyclic groups, exhaustive enumeration matches gcd(n,m).","All perceived rotations or translations are therefore fictional.","REV-TASK-001-001_no_fatal_or_major","Use additive cyclic groups and explicit operation tests."
"CLM-FFF-CYC-002","1","R","theorem/asymptotic","cyclic ratio asymptotic","The ratio of cyclic-group homomorphisms to admissible payoff functions tends to zero under the limit conditions stated in the paper.","SRC-FFF-2020","Section 4, Cyclic Groups Theorem; Appendix A.4","src/fts_lab/fff/formulas.py","Exact finite ratios plus limit checks against the transcribed theorem","","implemented_reviewed","The implemented ratio follows the source formula and exhibits the stated asymptotic behavior over declared sequences.","Counting-measure asymptotics establish the distribution of real biological fitness functions.","REV-TASK-001-001_no_fatal_or_major","Every plot must name the n,m path to infinity; implementation also exposes admissible-filtered cyclic counts as an audit aid."
"CLM-FFF-PERM-001","3","R","theorem","permutation morphism asymptotic","Under the paper's second-order morphism construction for symmetric groups, the ratio of such morphisms to admissible payoff functions tends to zero as stated.","SRC-FFF-2020","Section 4, Permutation Groups Theorem; Appendix A.3","src/fts_lab/fff/permutation_groups.py","Independent small-group checker; formula transcription; exhaustive cases below benchmarked threshold","ASM-FFF-0002","blocked_on_spec","For explicitly stated small symmetric groups, independent enumeration matches the transcribed source result.","An ordinary group-homomorphism count is an implementation of the paper's theorem without checking the second-order construction.","not_started","High risk of simplifying the theorem incorrectly."
"CLM-FFF-MEAS-001","3","R","theorem/bound","measurable-structure bound","For the nontrivial and nondiscrete cases specified in the paper, the number of measurable payoff functions satisfies the stated bound, and for most algebra orders k the ratio to admissible payoff functions tends to zero.","SRC-FFF-2020","Section 4, Measurable Structures Theorem; Appendix A.5","src/fts_lab/fff/measurable_spaces.py","Finite partition/algebra oracle; inverse-image measurability tests; bound comparison","ASM-FFF-0003","blocked_on_spec","For the declared finite measurable spaces, the implementation satisfies the source's exact cases or stated bound.","The source bound is an exact count in every measurable-space case.","not_started","Do not omit trivial/discrete exceptions or reverse-homomorphism direction."
"CLM-FBT-APP-001","2","R","numerical reproduction","stimulus marginals","For the numerical example, P(x1)=13/28 and P(x2)=15/28.","SRC-FBT-2021","Version of record, Appendix: Calculations for the Numerical Example in Table 1","src/fts_lab/fbt/numerical_example.py","Exact Fraction calculation from source priors and likelihoods","","planned","The executable companion reproduces the two published stimulus marginals exactly.","Reproducing two marginals confirms the general FBT theorem.","not_started","Targets belong in tests/fixtures, not production constants detached from source data."
"CLM-FBT-APP-002","2","R","numerical reproduction","posterior x1","For x1, the posterior over (w1,w2,w3) is (1/13, 9/13, 3/13), so the MAP estimate is w2.","SRC-FBT-2021","Version of record, numerical-example appendix","src/fts_lab/fbt/bayes.py","Exact Bayes calculation and normalization invariant","","planned","The exact posterior and MAP estimate for x1 match the published example.","MAP is the only possible definition of truth-oriented inference in all later models.","not_started","General tie handling remains separate."
"CLM-FBT-APP-003","2","R","numerical reproduction","posterior x2","For x2, the posterior over (w1,w2,w3) is (1/5, 1/5, 3/5), so the MAP estimate is w3.","SRC-FBT-2021","Version of record, numerical-example appendix","src/fts_lab/fbt/bayes.py","Exact Bayes calculation and normalization invariant","","planned","The exact posterior and MAP estimate for x2 match the published example.","The example establishes how all noisy perceptual systems behave.","not_started","Verify orientation of the likelihood table."
"CLM-FBT-APP-004","2","R","numerical reproduction","expected fitness values","For the numerical example, expected fitness is 5 for x1 and 33/5 for x2, so x2 has the larger expected fitness.","SRC-FBT-2021","Version of record, numerical-example appendix","src/fts_lab/fbt/decision.py","Exact Fraction expected-value calculation","","planned","The executable companion reproduces the published expected-fitness values exactly.","This single example proves that fitness-only always beats truth.","not_started","33/5 is the exact representation of the published decimal 6.6."
"CLM-FBT-THM-001","4","R","theorem","FBT lower bound","Over the theorem's stated space of fitness functions and priors, the probability that Fitness-only strictly dominates Truth is at least (|X|-3)/(|X|-1), approaching 1 as perceptual-space size |X| grows.","SRC-FBT-2021","Author manuscript, Theorem 4, “The Fitness Beats Truth Theorem”","specs/fbt/theorem4.md","Independent theorem transcription; finite symbolic checks where feasible; domain audit","","blocked_until_stage_4","We implemented the theorem statement and verified declared finite consequences under its explicit assumptions.","Every conceivable fitness-only organism dominates every truth-seeking organism, including under arbitrary measures and architectures.","not_started","Do not begin this theorem implementation during Stage 2; Stage 2 is appendix arithmetic only."
"CLM-ITP-CTX-001","context","R","context","interface-theory proposal","The Interface Theory of Perception proposes that perceptual systems provide species-specific interfaces for adaptive behavior rather than veridical depictions of objective reality.","SRC-ITP-2015","Abstract and core theory sections","none","Source quotation/paraphrase audit only","","context_only","The project studies mathematical arguments offered in support of ITP.","The project has already validated ITP as a complete theory of human perception.","not_started","Context claim; not an implementation target in early stages."
"CLM-OOC-BOUNDARY-001","context","R","scope boundary","conscious-agent separation","The conscious-agent formalism is a separate positive proposal from the FBT/FFF negative arguments about veridical perception.","SRC-OOC-2014","Abstract and conscious-agent formalism sections; compare SRC-FBT-2021 and SRC-FFF-2020","none","Cross-source scope audit","","context_only","FBT/FFF results may motivate but do not establish the conscious-agent ontology.","Reproducing FBT or FFF proves that reality consists of conscious agents.","not_started","Repository-wide anti-overclaim boundary."
